freq,purchase,unit,geo\TIME_PERIOD,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,DW_NEW,I15_A_AVG,BG,67.21,77.09,99.39,124.19,109.57,97.86,96.85,96.58,93.94,96.62,100.0,106.41,113.54,120.04,130.19,133.0,143.27,158.81,172.52,203.22,227.6
A,DW_NEW,I15_A_AVG,CY,,,,,,114.06,111.04,108.37,104.04,101.42,100.0,100.38,112.66,111.52,126.72,134.34,130.39,139.98,154.38,166.0,170.99
A,DW_NEW,I15_A_AVG,CZ,,,,97.0,100.2,97.2,95.8,93.6,93.7,95.4,100.0,105.9,120.6,134.9,145.5,158.7,188.0,222.3,219.2,230.4,261.6
A,DW_NEW,I15_A_AVG,DE,74.6,73.9,75.4,77.4,81.6,83.6,87.8,90.3,91.4,94.8,100.0,106.9,111.8,118.9,122.9,130.4,140.0,148.7,145.0,145.7,150.0
A,DW_NEW,I15_A_AVG,DK,31.69,41.73,47.5,44.41,41.03,40.48,45.58,50.62,80.16,89.54,100.0,99.37,100.0,101.79,102.52,103.28,107.49,118.59,123.77,126.59,129.24
A,DW_NEW,I15_A_AVG,EA,,,,,,101.62,101.92,98.57,97.19,97.59,100.0,103.78,107.53,112.52,117.43,123.49,131.19,141.68,146.43,152.91,159.76
A,DW_NEW,I15_A_AVG,EA19,,,,,,101.36,101.75,98.49,97.12,97.58,100.0,103.78,107.53,112.52,117.43,123.49,131.19,141.68,146.39,152.83,159.5
A,DW_NEW,I15_A_AVG,EA20,,,,,,101.46,101.86,98.63,97.24,97.67,100.0,103.73,107.46,112.44,117.37,123.4,131.11,141.69,146.46,152.94,159.8
A,DW_NEW,I15_A_AVG,EA21,,,,,,101.37,101.77,98.58,97.17,97.65,100.0,103.78,107.58,112.57,117.6,123.57,131.34,142.03,146.99,153.94,161.14
A,DW_NEW,I15_A_AVG,EE,47.02,62.89,85.03,78.37,51.37,56.39,61.71,68.65,74.86,90.0,100.0,105.33,110.78,120.45,129.22,141.57,159.55,187.85,210.1,219.55,226.45
A,DW_NEW,I15_A_AVG,ES,,113.65,127.18,132.51,127.03,124.2,116.84,100.05,94.66,95.48,100.0,106.45,112.93,120.05,129.1,137.47,143.71,154.9,167.35,185.44,206.46
A,DW_NEW,I15_A_AVG,EU,,,,,,100.03,100.53,97.93,96.45,97.48,100.0,103.84,107.81,113.17,118.24,123.99,132.39,144.85,152.05,162.39,170.29
A,DW_NEW,I15_A_AVG,EU27_2020,,,,,,101.17,101.63,98.89,97.09,97.64,100.0,103.52,107.4,112.79,118.19,124.26,132.67,145.16,152.38,162.74,170.66
A,DW_NEW,I15_A_AVG,EU28,,,,,,100.02,100.54,97.95,96.45,97.48,100.0,103.84,107.81,113.17,118.24,,,,,,
A,DW_NEW,I15_A_AVG,FI,68.25,74.24,79.88,81.18,86.31,87.72,91.41,95.88,97.93,98.94,100.0,102.38,106.2,108.59,110.52,114.56,120.96,126.27,125.5,122.59,123.91
A,DW_NEW,I15_A_AVG,FR,78.98,85.92,90.54,91.89,92.07,94.55,99.14,98.58,98.21,98.33,100.0,101.72,105.73,108.39,112.3,115.7,121.15,128.06,129.87,129.04,130.91
A,DW_NEW,I15_A_AVG,HR,,,,123.24,120.55,111.09,113.03,112.69,108.76,106.58,100.0,96.42,96.26,99.78,107.8,109.19,118.69,138.91,151.8,161.8,182.28
A,DW_NEW,I15_A_AVG,HU,,,96.31,98.46,95.38,90.44,87.5,87.42,88.37,92.11,100.0,110.11,130.76,148.67,164.73,185.06,221.13,268.66,309.51,355.53,383.1
A,DW_NEW,I15_A_AVG,IE,,,,,,117.08,97.71,85.3,78.91,86.69,100.0,107.63,113.51,124.75,129.8,132.55,136.95,148.38,163.82,175.04,183.74
A,DW_NEW,I15_A_AVG,IT,,,,,,100.8,104.0,106.3,104.8,102.0,100.0,100.7,100.0,101.1,102.3,104.5,108.5,115.1,121.5,131.1,131.9
A,DW_NEW,I15_A_AVG,LT,,90.16,101.99,118.48,85.98,77.17,85.0,92.04,90.45,95.04,100.0,102.19,112.31,121.02,128.83,136.98,156.95,189.5,218.81,240.54,259.62
A,DW_NEW,I15_A_AVG,LU,,,69.3,73.65,75.5,78.93,80.12,83.71,90.13,92.48,100.0,105.78,111.66,118.76,127.24,145.93,163.46,181.8,175.57,168.95,172.91
A,DW_NEW,I15_A_AVG,LV,,81.46,105.62,108.6,66.68,61.96,82.76,95.85,99.71,108.31,100.0,107.5,116.52,123.67,134.51,144.84,146.81,165.81,191.12,209.45,218.67
A,DW_NEW,I15_A_AVG,MT,,,,95.16,91.59,93.59,91.69,94.36,92.4,94.24,100.0,104.98,110.49,117.37,124.98,128.01,135.7,145.01,153.69,163.84,173.25
A,DW_NEW,I15_A_AVG,NL,104.34,107.72,115.29,114.38,104.7,105.5,105.47,97.03,93.83,93.87,100.0,104.03,112.28,123.46,133.76,145.51,161.57,182.43,189.21,195.13,210.87
A,DW_NEW,I15_A_AVG,NO,,,,,,76.02,82.53,88.12,92.32,94.53,100.0,107.07,112.72,115.19,122.44,129.17,138.34,147.94,154.77,161.51,170.2
A,DW_NEW,I15_A_AVG,PL,,,,,,101.28,102.38,101.94,96.95,97.46,100.0,101.08,104.31,110.02,117.38,124.68,136.02,152.09,168.01,195.66,206.84
A,DW_NEW,I15_A_AVG,PT,,,,104.95,104.45,105.19,102.1,95.68,94.43,98.33,100.0,103.33,109.12,117.3,127.59,137.19,149.15,162.06,172.78,185.7,212.02
A,DW_NEW,I15_A_AVG,RO,,,,,117.82,109.85,106.11,107.94,102.71,101.64,100.0,105.39,105.68,109.91,111.92,116.36,118.25,131.65,143.12,154.72,160.06
